"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Genus","Active Growth Period","Flower Color","Growth Rate","Height, Mature (feet)","Lifespan","Shape and Orientation","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)"
"DAIN","","Danthonia intermedia","timber oatgrass","Danthonia","Spring and Summer","Yellow","Moderate","1.5","Short","Erect","6","20","8","Intermediate","-33"
"DEEL","","Deschampsia elongata","slender hairgrass","Deschampsia","Spring and Summer","Yellow","Moderate","3.0","Short","Erect","10","24","8","Intolerant","-38"
"DIAN","","Dichanthium annulatum","Kleberg's bluestem","Dichanthium","Spring and Summer","Yellow","Rapid","3.0","Moderate","Semi-Erect","24","60","18","Intolerant","17"
"DIAR5","","Dichanthium aristatum","Angleton bluestem","Dichanthium","Spring and Summer","Yellow","Rapid","3.0","Moderate","Semi-Erect","24","60","18","Intolerant","22"
"DISP","","Distichlis spicata","saltgrass","Distichlis","Spring, Summer, Fall","Yellow","Slow","1.1","Long","Semi-Erect","5","70","2","Intolerant","-35"
"EHCA","","Ehrharta calycina","perennial veldtgrass","Ehrharta","Fall, Winter and Spring","Yellow","Rapid","4.0","Short","Erect","24","80","16","Intolerant","17"
"ELLAL","","Elymus lanceolatus ssp. lanceolatus","thickspike wheatgrass","Elymus","Spring and Summer","Yellow","Rapid","2.5","Long","Erect","8","25","18","Intolerant","-38"
"ELRE4","","Elymus repens","quackgrass","Elymus","Spring and Summer","Yellow","Rapid","2.6","Moderate","Erect","24","65","14","Intolerant","-43"
"ERVA","","Eragrostis variabilis","kawelu","Eragrostis","Spring and Summer","","","3.0","Short","Erect","17","70","12","Intolerant","40"
"EROP","","Eremochloa ophiuroides","centipede grass","Eremochloa","Spring, Summer, Fall","","Rapid","0.4","Long","Prostrate","34","60","12","Intermediate","12"
"ERPO3","","Eriochloa polystachya","Caribgrass","Eriochloa","Spring and Summer","","Rapid","3.0","Short","Erect","48","100","12","Intolerant","18"
"FECA","","Festuca californica","California fescue","Festuca","Fall, Winter and Spring","Yellow","Moderate","4.0","Moderate","Erect","12","20","8","Intolerant","7"
"FEHE2","","Festuca heteromalla","varioushair fescue","Festuca","Spring and Fall","Yellow","Moderate","2.2","Moderate","Erect","24","50","12","Tolerant","-43"
"FEOC","","Festuca occidentalis","western fescue","Festuca","Spring and Summer","Yellow","Moderate","3.0","Short","Erect","14","45","10","Tolerant","-43"
"FERU2","","Festuca rubra","red fescue","Festuca","Spring and Fall","Yellow","Moderate","2.4","Moderate","Semi-Erect","30","60","12","Tolerant","-33"
